feature,mean_abs_shap_rank,mean_abs_shap
AVG_DAYS_BETWEEN_INPATIENT_CLAIMS,1,1.8725504
TOTAL_ADMISSIONS,2,1.6948209
BENRES_IP,3,0.20028323
UNIQUE_DIAGNOSES_COUNT,4,0.19199857
AVG_LENGTH_OF_STAY,5,0.14332728
INPATIENT_CLAIM_COUNT,6,0.13482818
MEDREIMB_IP,7,0.07131663
AVG_OUTPATIENT_COST,8,0.06015715
AVG_DAYS_BETWEEN_OUTPATIENT_CLAIMS,9,0.058347967
AVG_INPATIENT_COST,10,0.0581016
AVG_DAYS_BETWEEN_DRUG_CLAIMS,11,0.048381127
DRUG_CLAIM_COUNT,12,0.04020906
AVG_DRUG_COST,13,0.039392613
SP_STATE_CODE,14,0.038897794
AVG_ADMISSION_COST,15,0.037176672
BENE_COUNTY_CD,16,0.034633342
OUTPATIENT_CLAIM_COUNT,17,0.033967625
AGE,18,0.03011837
MEDREIMB_CAR,19,0.028746027
RACE,20,0.022539254
MEDREIMB_OP,21,0.0219285
BENE_SEX_IDENT_CD,22,0.020012176
BENRES_CAR,23,0.019364143
PPPYMT_CAR,24,0.01853064
BENRES_OP,25,0.011464929
SP_CNCR,26,0.009202877
source_year,27,0.0058268677
SP_OSTEOPRS,28,0.005764308
SP_DEPRESSN,29,0.0055363025
BENE_HMO_CVRAGE_TOT_MONS,30,0.003483953
SP_STRKETIA,31,0.003440865
SP_CHRNKIDN,32,0.0031239174
SP_ALZHDMTA,33,0.0025581336
SP_DIABETES,34,0.002493116
SP_COPD,35,0.0021006735
SP_RA_OA,36,0.0019881332
PLAN_CVRG_MOS_NUM,37,0.001905288
BENE_SMI_CVRAGE_TOT_MONS,38,0.001721828
PPPYMT_IP,39,0.0013939777
SP_CHF,40,0.00080868916
SP_ISCHMCHT,41,0.0005777981
PPPYMT_OP,42,0.00025110942
IS_DECEASED,43,0.00014479327
BENE_HI_CVRAGE_TOT_MONS,44,0.0
