ds,forecast,lower_ci,upper_ci
2011-01-01,1558581.2310273233,-1065640.5141347158,4182802.9761893624
2011-02-01,937540.4238783712,-3056392.596750036,4931473.444506778
2011-03-01,437368.85542068805,-4757648.991140769,5632386.701982145
2011-04-01,34542.51130024914,-6270524.20081109,6339609.223411588
2011-05-01,-289884.2929217644,-7638584.663755463,7058816.077911934
2011-06-01,-551169.9631217248,-8888274.102937846,7785934.176694395
2011-07-01,-761603.2582853494,-10038452.02959795,8515245.51302725
2011-08-01,-931081.2540726127,-11103696.216212977,9241533.708067752
2011-09-01,-1067574.8209947767,-12095755.458098318,9960605.816108763
2011-10-01,-1177503.5095221126,-13024317.026945628,10669310.007901404
2011-11-01,-1266037.4736775893,-13897475.219773406,11365400.272418229
2011-12-01,-1337340.633153872,-14722050.21705662,12047368.950748876
